xl_file,property_name,unit_type,excluded_units,rentable_units,avg_scheduled_charges,current_occupied,prior_total_new,current_total_new,prior_renewal,current_renewal,prior_total_leases,current_total_leases,prior_pre_lease_pct,current_pre_lease_pct,yoy_variance_pct,projected_availability
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,Academy 65,D2,0,64,988.016888888889,61,13,21,28,24,41,45,0.640625,0.703125,0.0625,19
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,Academy 65,D3,0,20,969.9444444444445,18,11,8,9,10,20,18,1,0.9,-0.09999999999999998,2
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,Academy 65,D3 Semi-Shared,0,120,887.2978723404256,99,11,3,48,44,59,47,0.49166666666666664,0.39166666666666666,-0.09999999999999998,73
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,Academy 65,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,Academy 65,S1,0,5,1582.8,5,2,2,1,3,3,5,0.6,1,0.4,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,Academy 65,S2,0,5,1596,5,3,1,1,4,4,5,0.8,1,0.19999999999999996,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,Academy Lincoln,B1,0,30,864.3333333333334,30,23,16,5,14,28,30,0.9333333333333333,1,0.06666666666666665,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,Academy Lincoln,B2,0,38,887.5,36,20,21,16,15,36,36,0.9473684210526315,0.9473684210526315,0,2
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,Academy Lincoln,B3 Townhome,0,14,941.8571428571429,14,9,5,4,9,13,14,0.9285714285714286,1,0.0714285714285714,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,Academy Lincoln,C1,0,42,826.9444444444445,41,24,29,14,7,38,36,0.9047619047619048,0.8571428571428571,-0.04761904761904767,6
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,Academy Lincoln,D1,0,472,692.6608695652174,453,277,282,111,178,388,460,0.8220338983050848,0.9745762711864406,0.15254237288135586,12
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,Academy Lincoln,D2,0,36,743.1428571428571,34,12,23,4,12,16,35,0.4444444444444444,0.9722222222222222,0.5277777777777778,1
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,Academy Lincoln,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,The Dean Campustown,A1,0,14,1963.2142857142858,14,10,5,4,9,14,14,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,The Dean Campustown,A2 Deluxe,0,28,983.0357142857143,26,16,16,10,12,26,28,0.9285714285714286,1,0.0714285714285714,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,The Dean Campustown,B1,0,28,1247.6785714285713,27,19,17,9,11,28,28,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,The Dean Campustown,B2,0,28,1317.5,28,19,16,9,12,28,28,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,The Dean Campustown,B3 XL,0,56,756.7857142857143,54,44,40,12,16,56,56,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,The Dean Campustown,B4 XL,0,56,779.8148148148148,54,38,14,12,40,50,54,0.8928571428571429,0.9642857142857143,0.0714285714285714,2
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,The Dean Campustown,D1,0,56,1049.642857142857,54,44,29,9,13,53,42,0.9464285714285714,0.75,-0.1964285714285714,14
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,The Dean Campustown,D2,0,56,1034.2222222222222,55,32,38,16,7,48,45,0.8571428571428571,0.8035714285714286,-0.05357142857142849,11
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,The Dean Campustown,D3,0,56,1104.025641025641,55,42,18,13,21,55,39,0.9821428571428571,0.6964285714285714,-0.2857142857142857,17
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,The Dean Campustown,D4,0,56,1124.8148148148148,56,40,38,11,16,51,54,0.9107142857142857,0.9642857142857143,0.0535714285714286,2
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,The Dean Campustown,D5,0,56,1148.867924528302,55,31,31,24,22,55,53,0.9821428571428571,0.9464285714285714,-0.0357142857142857,3
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,The Dean Campustown,M1,0,84,1611.7261904761904,82,43,47,35,37,78,84,0.9285714285714286,1,0.0714285714285714,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,The Dean Campustown,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,The Dean Campustown,S1,0,42,1808.095238095238,41,19,21,20,21,39,42,0.9285714285714286,1,0.0714285714285714,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,The Dean Campustown,S2,0,28,1823.9285714285713,27,13,16,11,12,24,28,0.8571428571428571,1,0.1428571428571429,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,The Dean Campustown,S3 XL,0,28,1002.6785714285714,28,16,8,12,20,28,28,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1008 S. 4Th,B1,0,8,942.5,1,6,5,2,3,8,8,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1008 S. 4Th,B2,0,8,925,3,6,3,2,5,8,8,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1008 S. 4Th,B3,0,10,1059.5,4,9,6,1,4,10,10,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1008 S. 4Th,B4,0,2,1075,1,2,1,0,1,2,2,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1008 S. 4Th,B5,0,2,1110,0,2,2,0,0,2,2,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1008 S. 4Th,C1,0,12,879.1666666666666,3,10,9,2,3,12,12,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1008 S. 4Th,D1,0,16,811.25,9,16,7,0,9,16,16,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1008 S. 4Th,D1 Balcony,0,16,804.375,4,15,12,0,4,15,16,0.9375,1,0.0625,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1008 S. 4Th,D2,0,48,873.2291666666666,14,39,32,8,16,47,48,0.9791666666666666,1,0.02083333333333337,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1008 S. 4Th,D3 Balcony,0,12,944.1666666666666,2,12,10,0,2,12,12,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1008 S. 4Th,M1 Murphy,0,4,1085,1,3,3,1,1,4,4,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1008 S. 4Th,M1 Murphy Balcony,0,12,1180.8333333333333,2,9,10,2,2,11,12,0.9166666666666666,1,0.08333333333333337,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1008 S. 4Th,S1,0,4,1322.5,1,3,3,1,1,4,4,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1008 S. 4Th,S2,0,4,1267.5,2,2,2,2,2,4,4,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,1047 Commonwealth Avenue,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
