property_name,unit_type,excluded_units,rentable_units,avg_scheduled_charges,current_occupied,prior_total_new,current_total_new,prior_renewal,current_renewal,prior_total_leases,current_total_leases,prior_pre_lease_pct,current_pre_lease_pct,yoy_variance_pct,projected_availability
908 S. 1st,B3,0,8,981.875,7,8,6,0,2,8,8,1,1,0,0
908 S. 1st,D1,0,16,853.75,16,13,6,0,10,13,16,0.8125,1,0.1875,0
908 S. 1st,M1 Murphy,0,12,1071.6666666666667,11,9,7,2,5,11,12,0.9166666666666666,1,0.08333333333333337,0
908 S. 1st,M1 Murphy Balcony,0,16,1112,16,9,10,6,5,15,15,0.9375,0.9375,0,1
908 S. 1st,M2 Murphy,0,4,1125,4,1,4,2,0,3,4,0.75,1,0.25,0
1008 S. 4th,B1,0,8,942.5,8,6,5,2,3,8,8,1,1,0,0
1008 S. 4th,B2,0,8,925,8,6,3,2,5,8,8,1,1,0,0
1008 S. 4th,B3,0,10,1059.5,10,9,6,1,4,10,10,1,1,0,0
1008 S. 4th,B4,0,2,1122.5,2,2,0,0,2,2,2,1,1,0,0
1008 S. 4th,B5,0,2,1110,2,2,2,0,0,2,2,1,1,0,0
1008 S. 4th,C1,0,12,879.1666666666666,12,8,9,2,3,10,12,0.8333333333333334,1,0.16666666666666663,0
1008 S. 4th,D1,0,16,811.25,16,15,7,0,9,15,16,0.9375,1,0.0625,0
1008 S. 4th,D1 Balcony,0,16,804.375,16,15,12,0,4,15,16,0.9375,1,0.0625,0
1008 S. 4th,D2,0,48,875.2083333333334,46,39,32,8,16,47,48,0.9791666666666666,1,0.02083333333333337,0
