report_date,property_id,property_name,unit_type,excluded_units,rentable_units,occupied_units,available_units,avg_market_rent,avg_budgeted_rent,avg_advertised_rate,avg_scheduled_rent,avg_actual_charges,avg_scheduled_charges,current_preleased_new_count,prior_preleased_new_count,current_preleased_renewal_count,prior_preleased_renewal_count,current_preleased_total_count,prior_preleased_total_count,current_preleased_percent,prior_preleased_percent,variance
2025-02-11,739076,1008 S. 4th,S1,0,4,4,4,265,303.125,1306.25,1353.75,0,1353.75,0,0,0,0,0,0,0,0,0
2025-02-11,739076,1008 S. 4th,S2,0,4,4,4,0,0,1021.25,1380,0,1380,0,0,0,0,0,0,0,0,0
2025-02-11,739085,1047 Commonwealth Avenue,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,739085,1047 Commonwealth Avenue,S1,0,25,25,25,2025.7142857142858,2390.5714285714284,2895,2856.4285714285716,0,2856.4285714285716,0,0,0,0,0,0,0,0,0
2025-02-11,739085,1047 Commonwealth Avenue,S10,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,739085,1047 Commonwealth Avenue,S11,0,24,24,24,2358.269230769231,1196,1199.6923076923076,1130.923076923077,5916.916923076923,1130.923076923077,0,0,0,0,0,0,0,0,0
2025-02-11,739085,1047 Commonwealth Avenue,S2,0,12,11,12,1571.4285714285713,2082.1428571428573,2950,2925,0,2925,0,0,0,0,0,0,0,0,0
2025-02-11,739085,1047 Commonwealth Avenue,S3,0,51,48,51,2678.5,3040.29,3065,3090,0,3090,0,0,0,0,0,0,0,0,0
2025-02-11,739085,1047 Commonwealth Avenue,S4,0,8,8,8,627.5,742.1875,3025,3006.25,0,3006.25,0,0,0,0,0,0,0,0,0
2025-02-11,739085,1047 Commonwealth Avenue,S5,0,10,10,10,1766.6666666666667,2054,2100,3100,0,3100,0,0,0,0,0,0,0,0,0
2025-02-11,739085,1047 Commonwealth Avenue,S6,0,29,29,29,2054.1666666666665,2733.475,3350,3329.1666666666665,0,3329.1666666666665,0,0,0,0,0,0,0,0,0
2025-02-11,739085,1047 Commonwealth Avenue,S7,0,4,3,4,2950,3350,3400,3370,0,3370,0,0,0,0,0,0,0,0,0
2025-02-11,739085,1047 Commonwealth Avenue,S8,0,11,5,11,2650,3466.82,3350,3325,0,3325,0,0,0,0,0,0,0,0,0
2025-02-11,739085,1047 Commonwealth Avenue,S9,0,5,4,5,2950,3880,3950,3950,0,3950,0,0,0,0,0,0,0,0,0
2025-02-11,739079,307 E. Daniel,D1,0,40,40,40,47.36842105263158,264.2171052631579,991.1842105263158,1034.7368421052631,0,1034.7368421052631,0,0,0,0,0,0,0,0,0
2025-02-11,739080,501 S. 6th,B1,0,2,2,2,0,0,955,990,0,990,0,0,0,0,0,0,0,0,0
2025-02-11,739080,501 S. 6th,B2,0,2,2,2,515,457.5,975,970,0,970,0,0,0,0,0,0,0,0,0
2025-02-11,739080,501 S. 6th,C1,0,12,12,12,83,91.375,987.5,993.5,0,993.5,0,0,0,0,0,0,0,0,0
2025-02-11,739080,501 S. 6th,C2,0,12,12,12,0,0,1017.5,1035,0,1035,0,0,0,0,0,0,0,0,0
2025-02-11,739080,501 S. 6th,D1,0,16,16,16,99.375,128.203125,748.75,759.6875,0,759.6875,0,0,0,0,0,0,0,0,0
2025-02-11,739080,501 S. 6th,D2,0,16,16,16,320.625,264.84375,776.5625,784.6875,0,784.6875,0,0,0,0,0,0,0,0,0
2025-02-11,739080,501 S. 6th,D3 Townhome,0,4,4,4,910,798.75,875,862.5,0,862.5,0,0,0,0,0,0,0,0,0
2025-02-11,739080,501 S. 6th,E1 Townhome,0,20,20,20,0,0,868.75,872.25,0,872.25,0,0,0,0,0,0,0,0,0
2025-02-11,739080,501 S. 6th,E2 Townhome,0,20,20,20,105.29411764705883,94.41176470588235,884.4117647058823,900.8823529411765,0,900.8823529411765,0,0,0,0,0,0,0,0,0
2025-02-11,739084,908 S. 1st,A1,0,16,15,16,161.25,419.921875,1276.5625,1498.125,0,1498.125,0,0,0,0,0,0,0,0,0
2025-02-11,739084,908 S. 1st,B1,0,8,8,8,0,0,930,941.875,0,941.875,0,0,0,0,0,0,0,0,0
2025-02-11,739084,908 S. 1st,B2,0,16,16,16,0,251.96571428571428,955,973.5714285714286,0,973.5714285714286,0,0,0,0,0,0,0,0,0
2025-02-11,739084,908 S. 1st,B3,0,8,8,8,0,0,896.875,1036.875,0,1036.875,0,0,0,0,0,0,0,0,0
2025-02-11,739084,908 S. 1st,D1,0,16,16,16,0,0,905,926.9230769230769,0,926.9230769230769,0,0,0,0,0,0,0,0,0
2025-02-11,739084,908 S. 1st,M1 Murphy,0,12,11,12,170.83333333333334,261.6675,1120,1137.5,0,1137.5,0,0,0,0,0,0,0,0,0
2025-02-11,739084,908 S. 1st,M1 Murphy Balcony,0,16,15,16,129.375,204.140625,1101.5625,1185.3125,0,1185.3125,0,0,0,0,0,0,0,0,0
2025-02-11,739084,908 S. 1st,M2 Murphy,0,4,3,4,261.25,556.25,1220,1231.25,0,1231.25,0,0,0,0,0,0,0,0,0
2025-02-11,1115679,ANOVA uCity Square,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,1115679,ANOVA uCity Square,A1,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,1115679,ANOVA uCity Square,A2,0,17,14,17,1259.8,2119.6,0,2106.6,5968.72,2106.6,0,0,0,0,0,0,0,0,0
2025-02-11,1115679,ANOVA uCity Square,A3,0,10,9,10,2010.6666666666667,2160,0,2139,13668.81,2139,0,0,0,0,0,0,0,0,0
2025-02-11,1115679,ANOVA uCity Square,A4,0,20,20,20,988.75,2050.25,0,1811.25,8630.92,1811.25,0,0,0,0,0,0,0,0,0
2025-02-11,1115679,ANOVA uCity Square,A5,0,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,1115679,ANOVA uCity Square,A6,0,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,1115679,ANOVA uCity Square,A7,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,1115679,ANOVA uCity Square,A8,0,186,168,186,2058.9375,2478.1041666666665,54.145833333333336,2392.875,9891.153125,2392.875,0,0,0,0,0,0,0,0,0
2025-02-11,1115679,ANOVA uCity Square,B1,0,11,11,11,3557,3484,0,3363,22223.13,3363,0,0,0,0,0,0,0,0,0
2025-02-11,1115679,ANOVA uCity Square,B2,0,22,20,22,2882.8571428571427,3692,0,3778,20925.752857142856,3778,0,0,0,0,0,0,0,0,0
2025-02-11,1115679,ANOVA uCity Square,C1,0,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,1115679,ANOVA uCity Square,S1,0,168,159,168,1482.4102564102564,1839.871794871795,0,1738.6410256410256,7716.627179487179,1738.6410256410256,0,0,0,0,0,0,0,0,0
2025-02-11,641240,Academy 65,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,641240,Academy 65,A1,0,10,10,10,1742,1777.5,1815,1942,0,1942,0,0,0,0,0,0,0,0,0
2025-02-11,641240,Academy 65,B1,0,21,21,21,709,783,1716,1109.172,0,1109.172,0,0,0,0,0,0,0,0,0
2025-02-11,641240,Academy 65,B1 Semi-Shared,0,21,21,21,787.2727272727273,646.8845454545454,795,973.7927272727272,0,973.7927272727272,0,0,0,0,0,0,0,0,0
2025-02-11,641240,Academy 65,C1 Study,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,641240,Academy 65,D1 Balcony,0,40,38,40,522.2727272727273,529.8436363636364,939.5454545454545,953.6363636363636,0,953.6363636363636,0,0,0,0,0,0,0,0,0
2025-02-11,641240,Academy 65,D2,0,64,64,64,776.09375,803.7109375,1003.125,973.75,0,973.75,0,0,0,0,0,0,0,0,0
2025-02-11,641240,Academy 65,D3,0,20,20,20,857.7777777777778,900.8888888888889,1021.6666666666666,840,0,840,0,0,0,0,0,0,0,0,0
2025-02-11,641240,Academy 65,D3 Semi-Shared,0,120,120,120,750.1724137931035,812.1606896551724,815.3448275862069,892.5324137931035,0,892.5324137931035,0,0,0,0,0,0,0,0,0
2025-02-11,641240,Academy 65,S1,0,5,5,5,1555,1529,1565,1645,0,1645,0,0,0,0,0,0,0,0,0
2025-02-11,641240,Academy 65,S2,0,5,5,5,540,615.6,1572,1722,0,1722,0,0,0,0,0,0,0,0,0
2025-02-11,676055,Academy Lincoln,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,676055,Academy Lincoln,B1,0,30,30,30,29.107142857142858,416.665,872.5,901.4285714285714,0,901.4285714285714,0,0,0,0,0,0,0,0,0
2025-02-11,676055,Academy Lincoln,B2,0,38,38,38,0,122.14285714285714,817.3809523809524,933.8095238095239,0,933.8095238095239,0,0,0,0,0,0,0,0,0
2025-02-11,676055,Academy Lincoln,B3 Townhome,0,14,13,14,0,260.04,930,967.5,0,967.5,0,0,0,0,0,0,0,0,0
2025-02-11,676055,Academy Lincoln,C1,0,42,42,42,24.84375,294.375,780.46875,827.5,0,827.5,0,0,0,0,0,0,0,0,0
2025-02-11,676055,Academy Lincoln,D1,0,472,466,472,71.42996742671009,238.32410423452768,698.485342019544,722.3452768729642,0,722.3452768729642,0,0,0,0,0,0,0,0,0
2025-02-11,676055,Academy Lincoln,D2,0,36,35,36,63.19444444444444,177.7775,653.8888888888889,767.9166666666666,0,767.9166666666666,0,0,0,0,0,0,0,0,0
2025-02-11,1161867,Courts at Spring Mill Station,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,1161867,Courts at Spring Mill Station,Studio,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,1161867,Courts at Spring Mill Station,1 Bed 1 Bath,0,147,141,147,1990.7532467532467,1932.8961038961038,26.181818181818183,1966.3922077922077,5515.523636363637,1966.3922077922077,0,0,0,0,0,0,0,0,0
2025-02-11,1161867,Courts at Spring Mill Station,1 Bed 1 Bath ADA,0,4,3,4,1965,2259,0,1951,3598.88,1951,0,0,0,0,0,0,0,0,0
2025-02-11,1161867,Courts at Spring Mill Station,1 Bed 1 Bath Loft,0,12,6,12,1958.1666666666667,2013.8333333333333,334,2053.3333333333335,6641.7266666666665,2053.3333333333335,0,0,0,0,0,0,0,0,0
2025-02-11,1161867,Courts at Spring Mill Station,1 Bed 1 Bath w/ Den,0,31,30,31,2203.809523809524,2415.7619047619046,0,2312.0738095238094,12203.349047619047,2312.0738095238094,0,0,0,0,0,0,0,0,0
2025-02-11,1161867,Courts at Spring Mill Station,1Bed1.5 Bath w/ Den,0,3,3,3,2268,2616,0,2279,15441.18,2279,0,0,0,0,0,0,0,0,0
2025-02-11,1161867,Courts at Spring Mill Station,1Bed1Bath Loftw/ Den,0,3,2,3,0,0,2563,2597,0,2597,0,0,0,0,0,0,0,0,0
2025-02-11,1161867,Courts at Spring Mill Station,2 Bed 2 Bath,0,147,142,147,2493.1304347826085,2402.6376811594205,34.91304347826087,2553.7340579710144,8250.424492753624,2553.7340579710144,0,0,0,0,0,0,0,0,0
2025-02-11,1161867,Courts at Spring Mill Station,2 Bed 2 Bath ADA,0,4,2,4,2260,2402,0,2727,16783.51,2727,0,0,0,0,0,0,0,0,0
2025-02-11,1161867,Courts at Spring Mill Station,2 Bed 2 Bath Loft,0,9,8,9,2930,3116.5714285714284,0,3144.4285714285716,10195.16142857143,3144.4285714285716,0,0,0,0,0,0,0,0,0
2025-02-11,1161867,Courts at Spring Mill Station,2 Bed 2 Bath w/ Den,0,23,20,23,2922.4615384615386,3095.4615384615386,0,3205.3076923076924,12361.59076923077,3205.3076923076924,0,0,0,0,0,0,0,0,0
2025-02-11,1161867,Courts at Spring Mill Station,2Bed2Bath Loftw/ Den,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,1161867,Courts at Spring Mill Station,COMMERCIAL,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,952515,SOVA,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,952515,SOVA,A1,0,20,19,20,138.0952380952381,667.5,1473.8095238095239,1547.142857142857,0,1547.142857142857,0,0,0,0,0,0,0,0,0
2025-02-11,952515,SOVA,B1,0,64,64,64,46.808510638297875,349.1710638297872,1064.6808510638298,1183.8297872340424,0,1183.8297872340424,0,0,0,0,0,0,0,0,0
2025-02-11,952515,SOVA,B1 ALT,0,30,29,30,109.0909090909091,1187.1609090909092,1265,1255.4545454545455,0,1255.4545454545455,0,0,0,0,0,0,0,0,0
2025-02-11,952515,SOVA,C1,0,66,66,66,0,414.6362962962963,853.3333333333334,1045.648148148148,0,1045.648148148148,0,0,0,0,0,0,0,0,0
2025-02-11,952515,SOVA,D1,0,308,308,308,115.2,916.8346399999999,1000.4,1000.48,0,1000.48,0,0,0,0,0,0,0,0,0
2025-02-11,952515,SOVA,D2,0,88,88,88,46.04651162790697,669.1346511627908,998.1395348837209,1013.4883720930233,0,1013.4883720930233,0,0,0,0,0,0,0,0,0
2025-02-11,952515,SOVA,D3,0,240,239,240,28.857142857142858,728.3514285714286,1051.5714285714287,1049.8095238095239,0,1049.8095238095239,0,0,0,0,0,0,0,0,0
2025-02-11,518044,Shortbread Lofts,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,518044,Shortbread Lofts,B1,0,40,40,40,172.25,228.78125,1252.125,1246.5,0,1246.5,0,0,0,0,0,0,0,0,0
2025-02-11,518044,Shortbread Lofts,B2,0,10,10,10,0,288.8,1502,1540,0,1540,0,0,0,0,0,0,0,0,0
2025-02-11,518044,Shortbread Lofts,B3,0,2,2,2,765,1435,1505,1495,0,1495,0,0,0,0,0,0,0,0,0
2025-02-11,518044,Shortbread Lofts,B4,0,2,2,2,0,0,1505,1597.5,0,1597.5,0,0,0,0,0,0,0,0,0
2025-02-11,518044,Shortbread Lofts,C1,0,56,56,56,92.67857142857143,144.76392857142858,1458.5714285714287,1342.6785714285713,0,1342.6785714285713,0,0,0,0,0,0,0,0,0
2025-02-11,518044,Shortbread Lofts,C2,0,6,6,6,0,0,985,995,0,995,0,0,0,0,0,0,0,0,0
2025-02-11,518044,Shortbread Lofts,C3,0,20,20,20,0,0,1445.5,1258,0,1258,0,0,0,0,0,0,0,0,0
2025-02-11,518044,Shortbread Lofts,C4,0,24,24,24,73.75,115.625,1428.9583333333333,1151.25,0,1151.25,0,0,0,0,0,0,0,0,0
2025-02-11,518044,Shortbread Lofts,D1,0,205,205,205,0,0,1430.8415841584158,1164.1831683168316,0,1164.1831683168316,0,0,0,0,0,0,0,0,0
2025-02-11,518044,Shortbread Lofts,D2,0,9,9,9,0,0,1415,1339.4444444444443,0,1339.4444444444443,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,One Bedroom Waitlist,0,0,0,0,0,0,2406,2856,0,2856,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,Two Bedroom Waitlist,0,0,0,0,0,0,3054,3391.5,0,3391.5,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1a 1F Courtyard Stack,0,12,12,12,1669,1780,1680,1669,1669,1669,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1a 1F Pool Stack,0,4,4,4,1770,1770,0,1805,16026.72,1805,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1a 1F Stack,0,12,12,12,1550,1748.75,1601.25,1196.25,5368.1025,1196.25,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1a Courtyard Stack,0,24,24,24,1452.142857142857,1549.2857142857142,933.5714285714286,1733.7142857142858,8385.078571428572,1733.7142857142858,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1a Pool Stack,0,10,10,10,1695,1792.5,918.16,1836.5,14226.295,1836.5,0,0,0,0,0,0,0,0,0
