report_date,property_id,property_name,unit_type,excluded_units,rentable_units,occupied_units,available_units,current_preleased_new_count,prior_preleased_new_count,current_preleased_renewal_count,prior_preleased_renewal_count,current_preleased_total_count,prior_preleased_total_count,current_preleased_percent,prior_preleased_percent,variance
2025-02-11,518044,Shortbread Lofts,C3,0,20,20,20,0,0,0,0,0,0,0,0,0
2025-02-11,518044,Shortbread Lofts,C4,0,24,24,24,0,0,0,0,0,0,0,0,0
2025-02-11,518044,Shortbread Lofts,D1,0,205,205,205,0,0,0,0,0,0,0,0,0
2025-02-11,518044,Shortbread Lofts,D2,0,9,9,9,0,0,0,0,0,0,0,0,0
2025-02-11,518044,Shortbread Lofts,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,518046,The Rise at Northgate,A1,0,36,36,36,0,0,0,0,0,0,0,0,0
2025-02-11,518046,The Rise at Northgate,A2,0,4,4,4,0,0,0,0,0,0,0,0,0
2025-02-11,518046,The Rise at Northgate,A3,0,1,1,1,0,0,0,0,0,0,0,0,0
2025-02-11,518046,The Rise at Northgate,B1,0,42,42,42,0,0,0,0,0,0,0,0,0
2025-02-11,518046,The Rise at Northgate,B2,0,4,4,4,0,0,0,0,0,0,0,0,0
2025-02-11,518046,The Rise at Northgate,B3,0,2,2,2,0,0,0,0,0,0,0,0,0
2025-02-11,518046,The Rise at Northgate,C1,0,3,3,3,0,0,0,0,0,0,0,0,0
2025-02-11,518046,The Rise at Northgate,D1,0,252,252,252,0,0,0,0,0,0,0,0,0
2025-02-11,518046,The Rise at Northgate,D2,0,4,4,4,0,0,0,0,0,0,0,0,0
2025-02-11,518046,The Rise at Northgate,D3,0,40,40,40,0,0,0,0,0,0,0,0,0
2025-02-11,518046,The Rise at Northgate,E1,0,15,15,15,0,0,0,0,0,0,0,0,0
2025-02-11,518046,The Rise at Northgate,E2,0,30,30,30,0,0,0,0,0,0,0,0,0
2025-02-11,518046,The Rise at Northgate,E3,0,5,5,5,0,0,0,0,0,0,0,0,0
2025-02-11,518046,The Rise at Northgate,F1,0,6,6,6,0,0,0,0,0,0,0,0,0
2025-02-11,518046,The Rise at Northgate,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,518046,The Rise at Northgate,S1,0,21,21,21,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,One Bedroom Waitlist,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,Two Bedroom Waitlist,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1a 1F Courtyard Stack,0,12,12,12,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1a 1F Pool Stack,0,4,4,4,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,a1a 1F Stack,0,12,12,12,0,0,0,0,0,0,0,0,0
