report_date,property_id,property_name,unit_type,total_units,excluded_units,rentable_units,available_units,avg_scheduled_charges,current_occupied,current_occupancy,current_total_new,current_total_renewals,current_total_leases,current_preleased_percent,prior_total_new,prior_total_renewals,prior_total_leases,prior_preleased_percent,yoy_variance_count,yoy_variance_percent
2025-02-14,518046,The Rise at Northgate,S1,21,0,21,21,1005.8571428571429,21,1,9,11,20,0.9523809523809523,4,10,14,0.6666666666666666,6,0.2857142857142857
2025-02-14,577897,Station Nine,One Bedroom Waitlist,0,0,0,0,952,0,NA,6,0,6,Inf,0,0,0,NA,6,NA
2025-02-14,577897,Station Nine,Two Bedroom Waitlist,0,0,0,0,1313.076923076923,0,NA,5,0,5,Inf,0,0,0,NA,5,NA
2025-02-14,577897,Station Nine,a1a 1F Courtyard Stack,12,0,12,12,1730.6666666666667,12,1,0,3,3,0.25,2,0,2,0.16666666666666666,1,0.08333333333333334
2025-02-14,577897,Station Nine,a1a 1F Pool Stack,4,0,4,4,1805,4,1,1,0,1,0.25,1,0,1,0.25,0,0
2025-02-14,577897,Station Nine,a1a 1F Stack,12,0,12,12,957,12,1,3,1,4,0.3333333333333333,2,1,3,0.25,1,0.08333333333333331
2025-02-14,577897,Station Nine,a1a Courtyard Stack,24,0,24,24,1532.25,24,1,5,1,6,0.25,6,1,7,0.2916666666666667,-1,-0.041666666666666685
2025-02-14,577897,Station Nine,a1a Pool Stack,10,0,10,10,1852.6666666666667,10,1,1,1,2,0.2,5,0,5,0.5,-3,-0.3
2025-02-14,577897,Station Nine,a1a TF Stack,4,0,4,4,1836,4,1,1,0,1,0.25,0,0,0,0,1,0.25
2025-02-14,577897,Station Nine,a1a stack,23,0,23,23,1349,21,0.9130434782608695,6,2,8,0.34782608695652173,3,1,4,0.17391304347826086,4,0.17391304347826086
2025-02-14,577897,Station Nine,a1al TF Courtyard Stack,12,0,12,12,1448.75,11,0.9166666666666666,2,1,3,0.25,3,0,3,0.25,0,0
2025-02-14,577897,Station Nine,a1al TF Pool Stack,4,0,4,4,2100,3,0.75,1,0,1,0.25,0,0,0,0,1,0.25
2025-02-14,577897,Station Nine,a1al TF Stack,8,0,8,8,1859,8,1,0,2,2,0.25,1,0,1,0.125,1,0.125
2025-02-14,577897,Station Nine,a1b Pool Stack,2,0,2,2,1836,2,1,1,0,1,0.5,0,0,0,0,1,0.5
2025-02-14,577897,Station Nine,a1c 1F Stack,1,0,1,1,1595,1,1,1,0,1,1,0,0,0,0,1,1
2025-02-14,577897,Station Nine,a1hc Pool Side by Side,2,0,2,2,1640,2,1,1,0,1,0.5,0,0,0,0,1,0.5
2025-02-14,577897,Station Nine,a1hc TF Pool Side by Side,1,0,1,1,827.5,1,1,1,0,1,1,0,0,0,0,1,1
2025-02-14,577897,Station Nine,a2 1F Pool Side by Side,1,0,1,1,1528,1,1,1,0,1,1,0,0,0,0,1,1
2025-02-14,577897,Station Nine,a2 Pool Side by Side,2,0,2,2,1841,2,1,1,0,1,0.5,0,0,0,0,1,0.5
2025-02-14,577897,Station Nine,a2 TF Pool Side by Side,1,0,1,1,1885,1,1,0,1,1,1,0,0,0,0,1,1
2025-02-14,577897,Station Nine,a3a Pool Side by Side,8,0,8,8,2030,8,1,2,0,2,0.25,3,0,3,0.375,-1,-0.125
